abstraction	entity
brutalization, brutalisation, animalization, animalisation	degradation, debasement
barbarization, barbarisation	degradation, debasement
bastardization, bastardisation	degradation, debasement
corruption, subversion	degradation, debasement
demoralization, demoralisation	degradation, debasement
stultification, constipation, impairment, deadening	degradation, debasement
popularization, popularisation, vulgarization, vulgarisation	degradation, debasement
profanation	degradation, debasement
humiliation, abasement	degradation, debasement
comedown	humiliation, abasement
bleach	whitening, lightening
etiolation	bleach
obfuscation	blackening, darkening
tinting	coloring, colouring
dyeing	coloring, colouring
staining	dyeing
environmentalism	preservation, saving
fixation, fixing	preservation
staining, spotting, maculation	soiling, soilure, dirtying
contamination, pollution	soiling, soilure, dirtying
submersion, immersion, ducking, dousing	wetting
drenching, soaking, souse, sousing	wetting
moistening, dampening	wetting
splash, splashing	wetting
watering	wetting
sprinkle, sprinkling, sparge	watering
chomping	chew, chewing, mastication, manduction
mumbling, gumming	chew, chewing, mastication, manduction
rumination	chew, chewing, mastication, manduction
bruxism	action
motion, movement, move	change
movement	change
approach, approaching, coming	motion, movement, move
access	approach, approaching, coming
backdoor	access
closing, closure	approach, approaching, coming
progress, progression, procession, advance, advancement	motion, movement, move
push	progress, progression, procession, advance, advancement
career	progress, progression, procession, advance, advancement
march	progress, progression, procession, advance, advancement
locomotion, travel	motion, movement, move
brachiation	locomotion, travel
walk, walking	locomotion, travel
ambulation	walk, walking
amble, promenade, saunter, stroll, perambulation	walk
ramble, meander	amble, promenade, saunter, stroll, perambulation
constitutional	walk
foot	walk
walk	travel, traveling, travelling
sleepwalking, somnambulism, somnambulation, noctambulism, noctambulation	sleeping, walk, walking
somniloquy, somniloquism	process, sleeping
step	locomotion, travel
pace, stride, tread	step
pas	step
trip	step
sidestep	step
gait	walk, walking
hitch, hobble, limp	gait
gait	locomotion, travel
walk	gait
rack	gait
trot	gait
curvet, vaulting	dressage
piaffe	dressage
canter, lope	gait
gallop	gait
footstep	step
hike, hiking, tramp	walk
trudge	hike, hiking, tramp
flounce	gait
lurch, stumble, stagger	gait
pacing	gait
roll	gait
saunter	gait
skip	gait
stalk	gait
strut, prance, swagger	gait
lurch, lunge	motion, movement, move
waddle	gait
march, marching	walk, walking
countermarch	march, marching
lockstep	march, marching
promenade	march, marching
routemarch	march, marching
plodding, plod	walk, walking
prowl	walk, walking
moonwalk	walk
perambulation	walk
turn	walk
shamble, shambling, shuffle, shuffling	walk, walking
moonwalk	step
wading	walk, walking
walkabout	walk
walkabout	amble, promenade, saunter, stroll, perambulation
walkabout	tour, circuit
run, running	locomotion, travel
jog, trot, lope	locomotion, travel
dogtrot	jog, trot, lope
dash, sprint	run, running
break	dash, sprint
crawl, crawling, creep, creeping	locomotion, travel
lap, circle, circuit	locomotion, travel
travel, traveling, travelling	motion, movement, move
circumnavigation	travel, traveling, travelling
peregrination	travel, traveling, travelling
procession	collection, aggregation, accumulation, assemblage
traversal, traverse	travel, traveling, travelling
wandering, roving, vagabondage	travel, traveling, travelling
wayfaring	travel, traveling, travelling
drifting	wandering, roving, vagabondage
crossing	travel, traveling, travelling
ford, fording	crossing
traversal, traverse	crossing
tourism, touristry	business
ecotourism	tourism, touristry
driving	steering, guidance, direction, travel, traveling, travelling
motoring	driving
riding	travel, traveling, travelling
roping	labor, labour, toil
aviation, air	travel, traveling, travelling
flight	trip
nonstop	flight
redeye	flight
flight, flying	aviation, air
acrobatics, aerobatics, stunting	flight, flying
ballooning	flight, flying
flyover, flypast	flight, flying
glide, gliding, sailplaning, soaring, sailing	flight, flying
jump, parachuting	descent
skydiving	jump, parachuting
parasailing, paragliding	glide, gliding, sailplaning, soaring, sailing
overflight	flight, flying
pass	flight, flying
solo	flight, flying
sortie	flight, flying
touchdown	landing
splashdown	landing
takeoff	departure, going, leaving
tailspin, spin	acrobatics, aerobatics, stunting
journey, journeying	travel, traveling, travelling
stage, leg	travel, traveling, travelling
staging	travel, traveling, travelling
leg	distance, length
commute	journey, journeying
drive, ride	journey, journeying
mush	journey, journeying
odyssey	journey, journeying
trip	journey, journeying
junket	trip
run	trip
run	trip
passage, transit	journey, journeying
lift	drive, ride
joyride	drive, ride
spin	drive, ride
expedition	journey, journeying
campaign, safari	expedition
exploration	expedition
digression, excursion	journey, journeying
trek	trip
schlep, shlep	journey, journeying
trek	journey, journeying
tour, circuit	journey, journeying
itineration	tour, circuit
pilgrimage	journey, journeying
excursion, jaunt, outing, junket, expedition, sashay	journey, journeying
junketing	travel, traveling, travelling
airing	excursion, jaunt, outing, junket, expedition, sashay
voyage	journey, journeying
way	journey, journeying
voyage	seafaring
cruise, sail	voyage
crossing	voyage
lockage	passage, transit
spaceflight, spacefaring	voyage
seafaring	travel, traveling, travelling
sailing	seafaring
luff	sailing
beat	sailing
ministry	employment, work
tack	sailing
seafaring, navigation, sailing	employment, work
cabotage	seafaring, navigation, sailing
boating, yachting	seafaring
bareboating	boating, yachting
commutation, commuting	travel, traveling, travelling
displacement, deracination	movement
transportation, transport, transfer, transferral, conveyance	movement
transshipment	transportation, transport, transfer, transferral, conveyance
airlift, lift	transportation, transport, transfer, transferral, conveyance
connection, connexion	transportation, transport, transfer, transferral, conveyance
delivery, bringing	transportation, transport, transfer, transferral, conveyance
drive	transportation, transport, transfer, transferral, conveyance
airdrop	delivery, bringing
consignment	delivery, bringing
passage	delivery, bringing
post	delivery, bringing
service, serving	delivery, bringing
relay	passage
carry	transportation, transport, transfer, transferral, conveyance
pickup	acquiring, getting
packing, backpacking	carry
piggyback	carry
portage	carry
porterage	carry
pursuit, chase, pursual, following	motion, movement, move
trailing, tracking	pursuit, chase, pursual, following
shadowing, tailing	pursuit, chase, pursual, following
stalk, stalking	pursuit, chase, pursual, following
insertion, introduction, intromission	movement
cannulation, canulation, cannulization, cannulisation, canulization, canulisation, intubation	insertion, introduction, intromission
catheterization, catheterisation	operation, surgery
instillation, instillment, instilment	insertion, introduction, intromission
enclosure, enclosing, envelopment, inclosure	insertion, introduction, intromission
packing, boxing	enclosure, enclosing, envelopment, inclosure
bundling	packing, boxing
encasement, incasement	enclosure, enclosing, envelopment, inclosure
injection	insertion, introduction, intromission
infusion	instillation, instillment, instilment
transfusion	action
transfusion	insertion, introduction, intromission
perfusion	insertion, introduction, intromission
rise, ascent, ascension, ascending	motion, movement, move
levitation	rise, ascent, ascension, ascending
heave, heaving	rise, ascent, ascension, ascending
funambulism	sport, athletics
climb, mount	rise, ascent, ascension, ascending
scaling	climb, mount
clamber	climb, mount
escalade	scaling
mountaineering	climb, mount
Alpinism	mountaineering
soar, zoom	rise, ascent, ascension, ascending
descent	motion, movement, move
dive, nosedive	descent
rappel, abseil	descent
swoop	descent
drop	descent
flop, collapse	descent
lowering	movement
swing, swinging, vacillation	motion, movement, move
return	motion, movement, move
reentry	return
remand	return
slide, glide, coast	motion, movement, move
slippage	motion, movement, move
skid, slip, sideslip	slide, glide, coast
flow, stream	motion, movement, move
snowboarding	slide, glide, coast
spill, spillage, release	flow, stream
flood, overflow, outpouring	flow, stream
effusion	flood, overflow, outpouring
crawl	motion, movement, move
speed, speeding, hurrying	motion, movement, move
acceleration, quickening, speedup	speed, speeding, hurrying
deceleration	speed, speeding, hurrying
scud, scudding	speed, speeding, hurrying
translation, displacement	motion, movement, move
transplant, transplantation, transplanting	movement
shift, shifting	motion, movement, move
motion, movement, move, motility	change
abduction	motion, movement, move, motility
adduction	motion, movement, move, motility
agitation	motion, movement, move, motility
circumduction	motion, movement, move, motility
disturbance	motion, movement, move, motility
flit, dart	motion, movement, move, motility
gesture	motion, movement, move, motility
headshake, headshaking	motion, movement, move, motility
jab, jabbing, poke, poking, thrust, thrusting	gesture
mudra	gesture
inclination, inclining	motion, movement, move, motility
inversion, eversion, everting	motion, movement, move, motility
inversion, upending	motion, movement, move, motility
jerk, jerking, jolt, saccade	motion, movement, move, motility
bob	inclination, inclining
nod	inclination, inclining
nutation	nod
stoop	inclination, inclining
kick, kicking	motion, movement, move, motility
kneel, kneeling	motion, movement, move, motility
lurch, pitch, pitching	motion, movement, move, motility
opening	motion, movement, move, motility
